17,1,0,2,35,68,16,16,
4,2,0,0,7,4,19,2,
0,1,0,0,0,0,8,0,
4,1,0,2,5,0,3,4,
4,0,0,9,16,4,0,2,
4,1,0,6,13,0,1,1,
6,0,0,11,20,0,1,4,
5,1,0,0,5,10,62,5,
27,1,3,4,40,291,14,25,
11,1,0,10,41,31,8,7,
15,1,0,6,40,47,13,11,
2,0,0,3,14,1,1,2,
6,1,0,14,34,0,1,4,
16,1,0,3,43,6,7,13,
2,1,0,0,5,0,1,2,
0,1,0,0,0,0,20,0,
5,1,0,6,10,0,1,5,
5,0,0,11,14,10,1,1,
2,1,0,0,2,1,13,2,
3,1,0,0,3,3,1,3,
5,1,1,1,6,10,1,5,
4,2,0,1,7,4,3,2,
12,0,0,17,30,0,4,11,
23,1,0,2,50,35,1,12,
3,1,0,7,10,0,1,3,
2,1,0,10,14,0,2,2,
12,1,0,20,48,0,3,7,
7,1,0,28,34,15,0,6,
6,1,0,0,17,0,4,6,
2,1,0,0,3,0,1,1,
9,0,0,21,39,30,1,1,
5,0,0,22,34,10,2,4,
8,1,0,5,15,0,6,8,
4,0,0,11,21,0,1,2,
13,0,0,16,36,70,2,12,
2,1,0,1,2,1,6,2,
1,1,0,2,1,0,2,1,
4,0,0,4,9,4,1,4,
2,1,0,5,6,0,1,1,
3,1,0,6,14,0,1,3,
4,1,0,5,20,0,1,3,
7,1,0,3,14,5,1,6,
5,1,0,6,29,6,2,3,
6,0,0,5,10,11,17,6,
13,1,0,5,55,24,3,6,
1,1,0,0,2,0,1,1,
3,0,0,6,13,0,1,2,
2,1,0,1,2,1,13,2,
8,0,0,19,39,28,1,5,
10,1,11,6,19,0,11,9,
9,1,0,0,32,36,1,9,
4,0,0,1,6,0,2,4,
3,1,0,7,12,0,1,3,
3,1,0,0,3,3,9,3,
3,1,0,12,21,0,1,2,
3,1,0,8,15,0,1,2,
4,2,0,0,7,4,23,2,
3,1,0,1,7,1,0,3,
5,0,0,22,38,10,1,4,
2,1,0,1,2,1,14,2,
5,1,0,0,6,0,1,5,
5,1,0,1,10,2,2,5,
9,1,0,6,35,24,1,4,
4,1,0,2,10,0,1,1,
5,0,0,18,28,6,2,3,
2,1,0,1,2,1,4,2,
9,1,0,12,24,16,2,4,
4,0,0,16,24,4,1,3,
2,3,0,0,4,1,5,2,
16,1,0,9,27,92,41,16,
3,0,0,5,8,3,1,1,
3,1,0,9,12,0,1,3,
3,1,0,8,13,0,1,2,
12,0,0,13,24,66,4,5,
4,1,0,0,4,6,20,4,
